Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.189483,0.115907,0.075036,0.097576,0.033489,0.007446,0.045625,0.108542
borg,0.260003,0.083403,0.053447,0.118961,-1.0,0.006304,0.022213,0.058404
datapro4j,0.203777,0.15319,0.066701,0.115673,0.043867,0.008412,0.051002,0.117267
ical4j,0.205298,0.111928,0.045715,0.086209,0.031205,0.005898,0.030736,0.079168
java2html,0.21128,0.107311,0.082416,0.123812,-1.0,0.028281,0.105936,0.078939
jsapar,0.212524,0.12822,0.076835,0.096963,0.034295,0.00735,0.038733,0.10419
jxls,0.185809,0.1059,0.065679,0.115137,-1.0,0.012044,0.036624,0.073524
logisim,0.221406,0.100487,0.056698,0.096466,-1.0,0.008052,0.027244,0.068592
marvin,0.226119,0.141336,0.075473,0.097139,0.060959,0.006194,0.082066,0.120748
nekohtml,0.232882,0.129674,0.077036,0.098332,0.042626,0.006546,0.055684,0.106796
