Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.599425,0.886732,0.664407,0.870987,0.639796,1.66E-4,0.758714,0.026055
borg,0.644328,0.865887,0.795032,0.942662,-1.0,0.0,0.778462,0.02497
datapro4j,0.198961,0.624463,0.362905,0.54762,0.385101,0.0,0.541098,0.033199
ical4j,0.248974,0.694453,0.329451,0.522954,0.319823,2.8E-4,0.536639,0.036355
java2html,0.453753,0.912427,0.746328,0.870014,-1.0,0.0,0.742241,0.029628
jsapar,0.087859,0.479505,0.356888,0.433545,0.145084,2.63E-4,0.272396,0.029474
jxls,0.487944,0.904319,0.749836,0.91917,-1.0,0.0,0.702378,0.059786
logisim,0.485267,0.956587,0.754893,0.90727,-1.0,0.0,0.860657,0.046866
marvin,0.184538,0.430946,0.338204,0.45101,0.171243,0.0,0.361687,0.034967
nekohtml,0.258749,0.713838,0.465044,0.584168,0.345257,0.0,0.611485,0.01557
