Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.191279,0.544399,0.377876,0.701567,0.359365,0.0,0.417596,0.065239
borg,0.227598,0.664184,0.516647,0.532733,-1.0,0.0,0.518667,0.140809
datapro4j,0.497579,0.799656,0.463045,0.84266,0.561337,0.0,0.703333,0.041963
ical4j,0.132905,0.411519,0.243811,0.467879,0.254328,9.8E-5,0.275657,0.087798
java2html,0.258865,0.603475,0.423106,0.45838,-1.0,0.0,0.49575,0.077059
jsapar,0.152016,0.472555,0.306141,0.579512,0.204,0.0,0.277303,0.063933
jxls,0.32395,0.581813,0.394971,0.46345,-1.0,0.0,0.485598,0.125593
logisim,0.310667,0.578531,0.436533,0.463738,-1.0,0.0,0.551375,0.129136
marvin,0.293766,0.700234,0.560927,0.725819,0.438717,0.0,0.655036,0.051367
nekohtml,0.264985,0.636618,0.459452,0.700245,0.401429,0.0,0.629806,0.047183
