Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.166011,0.352282,0.368103,0.430823,0.221868,1.09E-4,0.281707,0.032786
borg,0.21046,0.599543,0.481948,0.66587,-1.0,1.7E-4,0.28798,0.025122
datapro4j,0.062276,0.311416,0.261521,0.439932,0.20271,0.0,0.388284,0.05976
ical4j,0.142499,0.363838,0.262152,0.46052,0.190931,0.001327,0.295422,0.067148
java2html,0.148363,0.427068,0.415742,0.499836,-1.0,4.5E-4,0.245508,0.043803
jsapar,0.08068,0.259255,0.251177,0.319492,0.141964,3.31E-4,0.161483,0.021368
jxls,0.177165,0.382249,0.424382,0.510634,-1.0,5.4E-5,0.330966,0.05247
logisim,0.056187,0.397473,0.430662,0.531114,-1.0,0.0,0.396884,0.060809
marvin,0.083443,0.232064,0.240576,0.326591,0.121933,1.18E-4,0.23228,0.039676
nekohtml,0.13588,0.351676,0.294802,0.397365,0.217299,1.24E-4,0.216551,0.01824
