Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.184773,0.118017,0.078832,0.088086,0.039803,0.008716,0.036859,0.110712
borg,0.218673,0.084591,0.047444,0.08925,-1.0,0.007383,0.039908,0.084534
datapro4j,0.224329,0.131165,0.077757,0.118362,0.068502,0.013987,0.054542,0.141414
ical4j,0.115126,0.1149,0.048812,0.083513,0.020449,0.006882,0.023548,0.113043
java2html,0.191592,0.106173,0.0755,0.084204,-1.0,0.017277,0.176657,0.101857
jsapar,0.174676,0.123923,0.076365,0.085481,0.033724,0.017808,0.061545,0.1133
jxls,0.16839,0.098411,0.051775,0.091626,-1.0,0.011592,0.050779,0.096202
logisim,0.168928,0.095759,0.070406,0.206599,-1.0,0.004519,0.011559,0.102543
marvin,0.238102,0.130644,0.089845,0.098443,0.066201,0.021223,0.076854,0.130766
nekohtml,0.222853,0.124174,0.08071,0.129633,0.037629,0.008922,0.045888,0.124265
