Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.241712,0.674417,0.585104,0.631723,0.332971,6.2E-5,0.535395,0.056561
borg,0.395133,0.805873,0.690057,0.800236,-1.0,0.002304,0.559413,0.080771
datapro4j,0.385855,0.823754,0.679035,0.720133,0.551555,0.0,0.759089,0.097371
ical4j,0.319485,0.739585,0.567842,0.572366,0.532313,0.001776,0.443865,0.20079
java2html,0.409247,0.776277,0.660733,0.668816,-1.0,0.0,0.634157,0.031467
jsapar,0.25646,0.624582,0.507245,0.539927,0.189693,7.9E-5,0.442699,0.046704
jxls,0.479344,0.749976,0.691622,0.736343,-1.0,3.88E-4,0.659872,0.080406
logisim,0.624037,0.899011,0.859991,0.8883,-1.0,0.00392,0.835626,0.153604
marvin,0.400614,0.696646,0.663895,0.700568,0.425917,0.0,0.668338,0.061413
nekohtml,0.452555,0.757801,0.657134,0.647519,0.487356,4.03E-4,0.700098,0.055744
