Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.134209,0.091881,0.073314,0.074636,0.037534,0.021448,0.079676,0.120889
borg,0.097716,0.051586,0.045284,0.071818,-1.0,0.007849,0.046689,0.060144
datapro4j,0.2087,0.085297,0.079564,0.113697,0.04388,0.017791,0.088422,0.107696
ical4j,0.124046,0.07464,0.053096,0.117625,0.026806,0.005947,0.052814,0.119573
java2html,0.133161,0.065483,0.077844,0.088723,-1.0,0.044746,0.086478,0.092427
jsapar,0.157808,0.086458,0.072033,0.09314,0.073822,0.028421,0.080445,0.115026
jxls,0.134728,0.056185,0.055791,0.079751,-1.0,0.006281,0.06411,0.101779
logisim,0.104036,0.045232,0.052764,0.120767,-1.0,0.010479,0.04387,0.090911
marvin,0.138489,0.100564,0.091341,0.106192,0.05191,0.014336,0.091934,0.139129
nekohtml,0.150765,0.079538,0.082665,0.237276,0.041782,0.007796,0.062926,0.106603
