Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.193928,0.139279,0.080417,0.08768,0.050054,0.011096,0.048743,0.100516
borg,0.169665,0.122177,0.078373,0.094528,-1.0,0.01192,0.092843,0.079748
datapro4j,0.152571,0.15337,0.056539,0.093389,0.034013,0.015116,0.045442,0.133117
ical4j,0.145534,0.123991,0.04516,0.0815,0.02328,0.003308,0.037225,0.089075
java2html,0.187136,0.13006,0.103001,0.108158,-1.0,0.030148,0.125548,0.113774
jsapar,0.166817,0.13246,0.080495,0.085764,0.058338,0.018867,0.080051,0.105368
jxls,0.160737,0.137618,0.074362,0.084074,-1.0,0.006756,0.066854,0.096688
logisim,0.159524,0.133826,0.064901,0.086965,-1.0,0.011124,0.031756,0.098342
marvin,0.200427,0.147895,0.085091,0.089654,0.077795,0.009787,0.086711,0.132157
nekohtml,0.206921,0.140998,0.075655,0.085808,0.049041,0.008938,0.062194,0.108721
