Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.331876,0.524688,0.496147,0.557733,0.227227,1.0E-6,0.376283,0.013833
borg,0.375669,0.698841,0.57932,0.746911,-1.0,5.88E-4,0.486968,0.017789
datapro4j,0.269917,0.480563,0.382062,0.560779,0.284572,7.57E-4,0.420387,0.056153
ical4j,0.336739,0.598012,0.370182,0.639213,0.318284,3.11E-4,0.352128,0.069313
java2html,0.259388,0.597701,0.518472,0.622731,-1.0,1.65E-4,0.360765,0.014372
jsapar,0.242063,0.408384,0.363544,0.423627,0.178844,5.1E-5,0.267268,0.009596
jxls,0.365648,0.551085,0.522737,0.627773,-1.0,6.55E-4,0.462411,0.036889
logisim,0.224561,0.540215,0.532947,0.650865,-1.0,1.2E-4,0.439149,0.039649
marvin,0.227688,0.344825,0.309603,0.409373,0.197903,0.0,0.312017,0.024617
nekohtml,0.334027,0.605251,0.473503,0.610121,0.278969,1.86E-4,0.439413,0.016503
