Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.161642,0.097202,0.089071,0.075342,0.121428,0.011646,0.109748,0.094378
borg,0.152529,0.077767,0.069029,0.074621,-1.0,0.004805,0.06874,0.070657
datapro4j,0.174204,0.113539,0.07296,0.088972,0.04042,0.006961,0.102371,0.106127
ical4j,0.108992,0.086594,0.053916,0.077767,0.048388,0.009803,0.047511,0.087893
java2html,0.168429,0.081742,0.096093,0.085691,-1.0,0.016228,0.14219,0.080365
jsapar,0.153587,0.095967,0.079275,0.088094,0.113893,0.018052,0.101067,0.095915
jxls,0.125185,0.095971,0.062786,0.074063,-1.0,0.019185,0.096179,0.093362
logisim,0.170195,0.090252,0.054169,0.071272,-1.0,0.013827,0.074456,0.109372
marvin,0.181879,0.100612,0.087838,0.085321,0.05963,0.020838,0.097894,0.115734
nekohtml,0.163802,0.097281,0.118897,0.08649,0.051969,0.017532,0.094649,0.097649
