Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.056934,0.402794,0.290083,0.487919,0.182359,0.0,0.322153,0.031167
borg,0.105426,0.542169,0.347375,0.472166,-1.0,0.0,0.345218,0.093819
datapro4j,0.179436,0.637013,0.448209,0.740197,0.503888,0.0,0.574506,0.056477
ical4j,0.052351,0.386549,0.273968,0.400419,0.195565,4.48E-4,0.194775,0.086951
java2html,0.071861,0.455828,0.272904,0.351356,-1.0,0.0,0.322552,0.047787
jsapar,0.046368,0.359193,0.209976,0.349828,0.136513,0.0,0.188746,0.028589
jxls,0.156749,0.503011,0.321222,0.457516,-1.0,0.0,0.384176,0.058896
logisim,0.187066,0.559907,0.395648,0.478932,-1.0,0.0,0.472593,0.15465
marvin,0.171282,0.46631,0.433317,0.611851,0.326561,0.0,0.480333,0.034352
nekohtml,0.1316,0.519738,0.396282,0.548879,0.313136,4.0E-5,0.449245,0.040772
