Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.175692,0.114094,0.0806,0.088658,0.034663,0.01909,0.063715,0.115464
borg,0.137689,0.079302,0.049538,0.088257,-1.0,0.006633,0.059922,0.085833
datapro4j,0.162569,0.094758,0.065857,0.104512,0.058071,0.029934,0.09471,0.103426
ical4j,0.114288,0.086016,0.043406,0.078188,0.024119,0.003776,0.057794,0.111508
java2html,0.134034,0.092509,0.087236,0.094765,-1.0,0.031273,0.090386,0.102364
jsapar,0.18941,0.105305,0.0917,0.077718,0.040511,0.018575,0.071817,0.102202
jxls,0.157147,0.08075,0.062586,0.081604,-1.0,0.008644,0.065246,0.098675
logisim,0.132314,0.062926,0.065312,0.13296,-1.0,0.002735,0.041377,0.110374
marvin,0.192066,0.112517,0.080951,0.088604,0.076617,0.014658,0.102667,0.133058
nekohtml,0.197637,0.09008,0.088245,0.094136,0.047204,0.009274,0.073046,0.110828
