Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.204087,0.132616,0.077318,0.112004,0.038494,0.002311,0.048771,0.123666
borg,0.129194,0.087837,0.072555,0.132929,-1.0,0.001161,0.034739,0.089657
datapro4j,0.200117,0.135648,0.066614,0.109271,0.051486,0.0,0.121254,0.104023
ical4j,0.182128,0.118163,0.052727,0.103964,0.014669,0.00139,0.066834,0.083452
java2html,0.155159,0.121375,0.091185,0.125435,-1.0,0.001849,0.083604,0.065078
jsapar,0.200867,0.130487,0.069765,0.102313,0.043936,0.004877,0.065425,0.119047
jxls,0.209304,0.115588,0.078952,0.125753,-1.0,9.83E-4,0.079568,0.084531
logisim,0.176155,0.101794,0.058681,0.093989,-1.0,0.015576,0.066951,0.083574
marvin,0.229042,0.13919,0.0874,0.106431,0.061033,0.002044,0.110115,0.130446
nekohtml,0.239217,0.135336,0.082804,0.109316,0.051179,0.002356,0.08392,0.11524
