Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.196199,0.378213,0.390432,0.454096,0.248978,1.27E-4,0.316321,0.019895
borg,0.226601,0.597093,0.460089,0.618183,-1.0,0.002061,0.328043,0.02492
datapro4j,0.075719,0.354043,0.306615,0.466309,0.248906,0.0,0.287757,0.061921
ical4j,0.160631,0.390492,0.272339,0.449063,0.270205,0.001143,0.276211,0.077689
java2html,0.055498,0.380566,0.315652,0.413466,-1.0,1.92E-4,0.169187,0.021785
jsapar,0.096383,0.285272,0.271776,0.335685,0.150195,3.32E-4,0.236289,0.0186
jxls,0.232024,0.444206,0.49926,0.603632,-1.0,0.004198,0.432531,0.061929
logisim,0.056475,0.41506,0.40656,0.559232,-1.0,0.0,0.311567,0.043461
marvin,0.097638,0.269925,0.255281,0.322005,0.13352,1.67E-4,0.233992,0.02684
nekohtml,0.150643,0.396391,0.32792,0.425942,0.237781,5.5E-5,0.311071,0.016166
