Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.1681,0.117424,0.085,0.08533,0.045596,0.009457,0.111325,0.100466
borg,0.207156,0.090659,0.073243,0.081147,-1.0,0.011454,0.077241,0.082019
datapro4j,0.203022,0.133567,0.062313,0.099127,0.042435,0.003333,0.113987,0.119599
ical4j,0.155872,0.111282,0.039723,0.093738,0.014957,0.001489,0.069827,0.093871
java2html,0.241237,0.117034,0.097418,0.120021,-1.0,0.018716,0.148344,0.128532
jsapar,0.190286,0.122782,0.080104,0.103469,0.029141,0.010162,0.103209,0.098408
jxls,0.167792,0.106715,0.064425,0.071981,-1.0,0.011851,0.093591,0.089277
logisim,0.188994,0.124069,0.061461,0.069304,-1.0,0.007414,0.087731,0.111052
marvin,0.184763,0.127476,0.083747,0.092389,0.03782,0.011098,0.106936,0.11722
nekohtml,0.230274,0.116718,0.078565,0.091159,0.032231,0.009022,0.088131,0.104855
