Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.06418,0.332302,0.294344,0.477833,0.300096,0.0,0.331089,0.036324
borg,0.069312,0.544786,0.336314,0.437687,-1.0,0.0,0.328544,0.070572
datapro4j,0.199746,0.63501,0.482755,0.746825,0.573797,0.0,0.570365,0.061343
ical4j,0.04482,0.389119,0.261701,0.392494,0.213119,0.0,0.194426,0.090274
java2html,0.071003,0.358439,0.235693,0.302519,-1.0,0.0,0.259058,0.039732
jsapar,0.042625,0.301365,0.229672,0.343054,0.233147,0.0,0.195125,0.038167
jxls,0.122468,0.365032,0.268111,0.35586,-1.0,0.0,0.326551,0.071331
logisim,0.090272,0.442681,0.339125,0.415772,-1.0,0.0,0.401412,0.099945
marvin,0.182621,0.475764,0.415021,0.606923,0.471684,0.0,0.415708,0.044685
nekohtml,0.119244,0.452095,0.381312,0.533661,0.368623,2.4E-5,0.444499,0.034466
