Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.181991,0.144673,0.084562,0.119258,0.034664,0.011555,0.059997,0.124699
borg,0.202363,0.073683,0.054303,0.119477,-1.0,0.00987,0.05088,0.088082
datapro4j,0.201613,0.115288,0.07782,0.129198,0.060668,0.013769,0.104088,0.115468
ical4j,0.127918,0.110775,0.046326,0.088161,0.018879,0.004361,0.051474,0.108945
java2html,0.174564,0.104743,0.076866,0.101234,-1.0,0.0,0.0822,0.100218
jsapar,0.170987,0.128129,0.07641,0.102394,0.044416,0.016302,0.071938,0.119129
jxls,0.179195,0.090583,0.050758,0.091052,-1.0,0.004757,0.065553,0.095833
logisim,0.193393,0.085248,0.068015,0.230767,-1.0,0.001592,0.054993,0.117541
marvin,0.195234,0.123906,0.088973,0.11359,0.067384,0.007978,0.115774,0.147557
nekohtml,0.235711,0.119768,0.09102,0.147927,0.040251,0.001161,0.079685,0.122363
