Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.160997,0.137836,0.067379,0.0933,0.044981,0.006249,0.080747,0.097012
borg,0.223178,0.129329,0.073152,0.105957,-1.0,0.006429,0.085121,0.095212
datapro4j,0.183351,0.135905,0.049413,0.08781,0.042741,0.00349,0.117348,0.123539
ical4j,0.117619,0.126707,0.045637,0.086556,0.021685,0.007657,0.068137,0.100456
java2html,0.140278,0.133942,0.092855,0.097751,-1.0,0.026339,0.10368,0.1142
jsapar,0.192505,0.133365,0.077632,0.089253,0.040617,0.002594,0.084595,0.082032
jxls,0.197268,0.129798,0.071061,0.088748,-1.0,0.009343,0.092476,0.112433
logisim,0.20672,0.1315,0.064107,0.08466,-1.0,0.016158,0.085917,0.121555
marvin,0.184791,0.13743,0.07905,0.09029,0.051332,0.00877,0.112715,0.110307
nekohtml,0.201255,0.136022,0.071905,0.090414,0.050009,0.005221,0.089376,0.090633
