Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.06218,0.225495,0.223792,0.23669,0.141887,0.0,0.168356,0.022889
borg,0.086011,0.49992,0.281006,0.283665,-1.0,0.0,0.227759,0.022627
datapro4j,0.153993,0.337978,0.280285,0.362591,0.200986,0.0,0.26242,0.049984
ical4j,0.050943,0.216638,0.143525,0.166263,0.074831,0.0,0.135696,0.052976
java2html,0.064096,0.317965,0.219726,0.224222,-1.0,0.0,0.218896,0.014634
jsapar,0.028297,0.235987,0.15186,0.131031,0.13078,0.0,0.187001,0.019478
jxls,0.081499,0.334639,0.217069,0.238532,-1.0,0.0,0.28502,0.018297
logisim,0.065139,0.322911,0.242893,0.215888,-1.0,0.0,0.245215,0.01681
marvin,0.147829,0.368261,0.291014,0.372035,0.259189,0.0,0.310877,0.024878
nekohtml,0.07919,0.292139,0.236282,0.213746,0.184555,0.0,0.251151,0.015068
