Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.206609,0.131849,0.062157,0.114015,0.037215,0.007153,0.075976,0.108504
borg,0.190316,0.101701,0.060855,0.053151,-1.0,0.006637,0.067508,0.070438
datapro4j,0.137056,0.111528,0.037894,0.096469,0.033781,0.005069,0.100107,0.096283
ical4j,0.115781,0.107144,0.035282,0.087074,0.009234,0.005752,0.058484,0.086627
java2html,0.210447,0.103311,0.070665,0.119675,-1.0,0.019199,0.092616,0.078018
jsapar,0.164539,0.123686,0.071576,0.167225,0.03799,0.010848,0.062191,0.112565
jxls,0.147927,0.097823,0.052206,0.117849,-1.0,0.007636,0.072757,0.085957
logisim,0.142966,0.10823,0.043204,0.095511,-1.0,0.019431,0.071656,0.079703
marvin,0.164544,0.117168,0.072701,0.104595,0.055438,0.005217,0.104692,0.108728
nekohtml,0.198066,0.126709,0.065139,0.097063,0.036478,0.004517,0.077082,0.09017
