Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.188454,0.117985,0.065999,0.09335,0.028364,0.001455,0.049519,0.096969
borg,0.159755,0.080759,0.065633,0.254541,-1.0,0.002558,0.05472,0.058446
datapro4j,0.187039,0.117543,0.057199,0.098799,0.040731,0.002723,0.1081,0.088041
ical4j,0.125258,0.106832,0.04823,0.092382,0.015665,0.001491,0.06268,0.069347
java2html,0.158094,0.09901,0.07207,0.130856,-1.0,0.016339,0.058884,0.037545
jsapar,0.139006,0.127955,0.065373,0.090039,0.032761,0.0,0.064401,0.113051
jxls,0.183199,0.095221,0.050265,0.091915,-1.0,0.006525,0.054416,0.038942
logisim,0.123469,0.094655,0.045578,0.110641,-1.0,0.006654,0.058449,0.054504
marvin,0.17677,0.123439,0.067266,0.093902,0.052012,0.0,0.09099,0.135374
nekohtml,0.198255,0.122705,0.07729,0.129981,0.033892,6.3E-4,0.079997,0.094354
