Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.029225,0.159795,0.182142,0.244172,0.103614,0.0,0.147361,0.022639
borg,0.030352,0.325681,0.205865,0.309502,-1.0,0.0,0.254698,0.016951
datapro4j,0.071799,0.234195,0.231515,0.351706,0.15086,0.0,0.263084,0.030766
ical4j,0.014286,0.154478,0.104658,0.190906,0.069409,5.0E-5,0.121752,0.042824
java2html,0.021271,0.209332,0.166255,0.21548,-1.0,0.0,0.207687,0.010418
jsapar,0.013992,0.149993,0.132892,0.204327,0.090325,0.0,0.129167,0.017894
jxls,0.030631,0.228964,0.194582,0.272172,-1.0,0.0,0.278701,0.028365
logisim,0.00776,0.19262,0.17503,0.211918,-1.0,0.0,0.205902,0.029744
marvin,0.057292,0.176133,0.211726,0.298819,0.155539,0.0,0.257965,0.033889
nekohtml,0.027763,0.1896,0.182151,0.259261,0.118415,0.0,0.213478,0.017943
