Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.171158,0.10712,0.072816,0.077994,0.030584,0.004301,0.108082,0.096749
borg,0.145032,0.095401,0.0649,0.080664,-1.0,0.009392,0.071071,0.060874
datapro4j,0.167557,0.12218,0.048887,0.093748,0.039413,0.004705,0.108275,0.103556
ical4j,0.157183,0.103997,0.046853,0.081619,0.018,0.003443,0.065317,0.080052
java2html,0.133357,0.09567,0.07838,0.082529,-1.0,0.029749,0.132035,0.073051
jsapar,0.159286,0.105298,0.072849,0.074752,0.026255,0.004714,0.082194,0.089235
jxls,0.165715,0.095745,0.062549,0.06587,-1.0,0.007747,0.090878,0.093429
logisim,0.154951,0.108973,0.052383,0.078771,-1.0,0.007401,0.078051,0.106656
marvin,0.172485,0.108762,0.070508,0.083909,0.036806,0.003802,0.090684,0.121926
nekohtml,0.173118,0.113219,0.070821,0.086101,0.023464,0.003501,0.084559,0.096577
