Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.125853,0.516003,0.435154,0.598214,0.459201,0.0,0.462987,0.057664
borg,0.051532,0.570599,0.330806,0.453682,-1.0,0.0,0.159935,0.069735
datapro4j,0.436631,0.829036,0.755651,0.845768,0.770167,0.0,0.69899,0.082961
ical4j,0.058085,0.528843,0.365769,0.450327,0.250379,0.0,0.218289,0.120998
java2html,0.090333,0.440739,0.24644,0.346366,-1.0,0.0,0.348669,0.036712
jsapar,0.098955,0.435796,0.343389,0.469289,0.327728,0.0,0.317881,0.0432
jxls,0.146446,0.463064,0.303953,0.401719,-1.0,0.0,0.377368,0.053088
logisim,0.113659,0.506847,0.388841,0.420486,-1.0,0.0,0.331453,0.070977
marvin,0.349714,0.742747,0.633786,0.781671,0.769985,0.0,0.687975,0.076995
nekohtml,0.200063,0.620818,0.521492,0.665709,0.538079,0.0,0.582963,0.046887
