Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.185094,0.113973,0.073338,0.108777,0.039128,0.005032,0.061543,0.11669
borg,0.163354,0.075647,0.03617,0.09605,-1.0,0.008224,0.043197,0.073769
datapro4j,0.26315,0.099908,0.064898,0.109469,0.050022,0.001455,0.098648,0.098966
ical4j,0.13446,0.101225,0.043174,0.090338,0.019305,0.006401,0.051224,0.108182
java2html,0.190461,0.088419,0.074299,0.086027,-1.0,0.008126,0.072822,0.084779
jsapar,0.157214,0.115477,0.075369,0.086886,0.040282,0.002108,0.066843,0.115202
jxls,0.147659,0.081298,0.053854,0.091042,-1.0,0.004495,0.064109,0.083564
logisim,0.182923,0.07414,0.054157,0.190376,-1.0,0.005473,0.062952,0.099861
marvin,0.179028,0.097013,0.078137,0.129402,0.083984,0.003179,0.097891,0.140229
nekohtml,0.167848,0.105141,0.080365,0.124484,0.042405,0.004031,0.072246,0.103496
