Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.029121,0.196955,0.192295,0.284701,0.122597,0.0,0.147157,0.013417
borg,0.054274,0.435433,0.236262,0.402175,-1.0,0.0,0.195364,0.020119
datapro4j,0.084374,0.289513,0.259318,0.415367,0.159177,0.0,0.207564,0.0419
ical4j,0.013515,0.179403,0.107367,0.226442,0.092925,0.0,0.103419,0.033877
java2html,0.033391,0.295995,0.182341,0.267366,-1.0,0.0,0.168152,0.011512
jsapar,0.021322,0.172242,0.13636,0.235651,0.109817,0.0,0.150756,0.014973
jxls,0.053848,0.254088,0.192775,0.309011,-1.0,0.0,0.205785,0.023193
logisim,0.023714,0.232976,0.188622,0.251771,-1.0,0.0,0.162395,0.02075
marvin,0.063162,0.212837,0.205363,0.328898,0.165473,0.0,0.200149,0.02919
nekohtml,0.047573,0.231228,0.182777,0.303869,0.152897,0.0,0.189577,0.010967
