Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.016619,0.207829,0.1603,0.255933,0.165521,0.0,0.220462,0.003307
borg,0.001451,0.235225,0.058823,0.202863,-1.0,0.0,0.193604,2.52E-4
datapro4j,0.107447,0.352315,0.290685,0.39857,0.199574,0.0,0.260159,0.006924
ical4j,0.020256,0.19821,0.121378,0.246525,0.109568,0.0,0.143107,0.007692
java2html,0.004426,0.165401,0.067761,0.140206,-1.0,0.0,0.13711,4.91E-4
jsapar,0.010501,0.168447,0.106823,0.201539,0.105891,0.0,0.170547,0.002765
jxls,0.013513,0.259383,0.136827,0.248026,-1.0,0.0,0.229309,4.06E-4
logisim,0.008547,0.183087,0.109797,0.193847,-1.0,0.0,0.156847,7.2E-5
marvin,0.071006,0.339023,0.252549,0.386761,0.244287,0.0,0.263718,0.00266
nekohtml,0.029059,0.226311,0.181099,0.276495,0.151324,0.0,0.1962,0.003055
