Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.180876,0.136341,0.074472,0.116848,0.043261,0.009347,0.077144,0.168431
borg,0.210823,0.10511,0.079218,0.128461,-1.0,0.003062,0.074715,0.077795
datapro4j,0.271035,0.11883,0.058946,0.130018,0.037876,0.0,0.106757,0.085137
ical4j,0.14444,0.122063,0.05363,0.12827,0.016762,0.001017,0.065548,0.072802
java2html,0.208465,0.122198,0.090426,0.113876,-1.0,0.013689,0.09595,0.113479
jsapar,0.138679,0.128717,0.080622,0.122322,0.044367,0.0,0.058222,0.112498
jxls,0.157332,0.117034,0.075924,0.101553,-1.0,0.008323,0.085432,0.0985
logisim,0.181953,0.118534,0.069253,0.103762,-1.0,0.001617,0.095027,0.063324
marvin,0.201862,0.121246,0.087807,0.128605,0.057189,0.0,0.113089,0.12366
nekohtml,0.175892,0.129291,0.074792,0.146826,0.03161,0.01113,0.10014,0.102894
