Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.003028,0.082428,0.079406,0.154328,0.061835,0.0,0.116801,0.008654
borg,6.0E-4,0.138761,0.025771,0.134417,-1.0,0.0,0.109921,0.00328
datapro4j,0.035534,0.158025,0.126787,0.257502,0.098022,0.0,0.192503,0.029019
ical4j,0.010871,0.127773,0.092621,0.172941,0.056428,0.0,0.106259,0.020067
java2html,0.003196,0.114411,0.067101,0.115965,-1.0,0.0,0.08881,0.002013
jsapar,0.002746,0.086249,0.069881,0.125487,0.041773,0.0,0.094659,0.005989
jxls,0.005284,0.153445,0.096596,0.184566,-1.0,0.0,0.170622,0.010248
logisim,0.002798,0.11071,0.105328,0.135165,-1.0,0.0,0.146212,0.005237
marvin,0.023115,0.151179,0.119219,0.229024,0.109022,0.0,0.212821,0.008379
nekohtml,0.009015,0.105062,0.097037,0.179812,0.065275,0.0,0.133225,0.005947
