Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.235591,0.150758,0.069209,0.093463,0.041934,0.025892,0.046028,0.118722
borg,0.171131,0.146226,0.076221,0.107283,-1.0,0.009257,0.105851,0.089391
datapro4j,0.235125,0.151158,0.065156,0.102317,0.03786,0.014774,0.033213,0.136963
ical4j,0.182409,0.138661,0.050167,0.090641,0.02287,0.003372,0.020033,0.091072
java2html,0.157749,0.131553,0.099763,0.106015,-1.0,0.040541,0.106558,0.114737
jsapar,0.180786,0.146923,0.077685,0.103794,0.047425,0.0,0.068059,0.112663
jxls,0.200909,0.130703,0.07224,0.09548,-1.0,0.008461,0.061602,0.092959
logisim,0.266405,0.153093,0.06728,0.089904,-1.0,0.005795,0.037422,0.102897
marvin,0.253353,0.157561,0.091685,0.110084,0.061013,0.005546,0.060747,0.12125
nekohtml,0.250029,0.146703,0.078694,0.100485,0.041619,0.012369,0.045191,0.114741
