Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.204899,0.13033,0.08085,0.097343,0.058987,0.005746,0.103813,0.120159
borg,0.213816,0.139206,0.087376,0.110657,-1.0,0.011424,0.106319,0.109822
datapro4j,0.203246,0.123907,0.068522,0.108512,0.028179,0.013769,0.119674,0.113758
ical4j,0.163647,0.11053,0.050317,0.102847,0.019387,0.004577,0.087668,0.084823
java2html,0.196167,0.135131,0.121034,0.132032,-1.0,0.031876,0.166995,0.136038
jsapar,0.222742,0.127328,0.092881,0.128669,0.0456,0.009817,0.097301,0.112033
jxls,0.15675,0.113503,0.071235,0.099259,-1.0,0.008261,0.102791,0.096125
logisim,0.20229,0.133233,0.061074,0.085785,-1.0,0.012276,0.092305,0.10842
marvin,0.216949,0.13671,0.103951,0.145107,0.062955,0.017594,0.11594,0.113511
nekohtml,0.24455,0.126972,0.098121,0.103646,0.020365,0.007828,0.105943,0.10509
