Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.198267,0.138671,0.074693,0.091598,0.047517,0.015576,0.086668,0.103788
borg,0.177767,0.133352,0.083676,0.103739,-1.0,0.010735,0.09139,0.097818
datapro4j,0.167527,0.129178,0.054473,0.085896,0.030778,0.001042,0.116788,0.113349
ical4j,0.114347,0.122045,0.049621,0.085852,0.020583,0.011234,0.080803,0.090426
java2html,0.214929,0.135298,0.112013,0.103031,-1.0,0.030754,0.129199,0.122727
jsapar,0.165638,0.136584,0.084107,0.098344,0.047203,0.001831,0.084217,0.099109
jxls,0.209807,0.132242,0.080542,0.089065,-1.0,0.009709,0.096737,0.100242
logisim,0.197561,0.135373,0.074275,0.087515,-1.0,0.012021,0.100469,0.113697
marvin,0.173217,0.137283,0.089164,0.101436,0.044665,0.00173,0.117536,0.079333
nekohtml,0.23843,0.128712,0.076614,0.093174,0.05146,0.004605,0.095453,0.078871
