Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.166488,0.122228,0.078519,0.096058,0.060523,0.011141,0.073518,0.106555
borg,0.124564,0.09777,0.07212,0.102296,-1.0,0.006857,0.066226,0.073477
datapro4j,0.207372,0.105366,0.060591,0.083473,0.033286,0.027137,0.102275,0.090447
ical4j,0.154528,0.098383,0.064727,0.091869,0.028016,0.003364,0.066893,0.079069
java2html,0.163499,0.111139,0.114882,0.109418,-1.0,0.036239,0.09824,0.111515
jsapar,0.179553,0.118892,0.087628,0.095336,0.063045,0.018416,0.076139,0.097086
jxls,0.16517,0.1024,0.068727,0.091304,-1.0,0.012349,0.080951,0.081312
logisim,0.143238,0.084915,0.060164,0.092972,-1.0,0.006703,0.057276,0.076995
marvin,0.218682,0.118711,0.08746,0.105779,0.068453,0.0,0.106583,0.10163
nekohtml,0.179937,0.115647,0.086872,0.102272,0.044069,0.004875,0.089582,0.096616
