Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.012608,0.14265,0.105695,0.268948,0.081266,0.0,0.098171,0.014766
borg,0.00224,0.278248,0.073225,0.201488,-1.0,0.0,0.084068,0.00943
datapro4j,0.044385,0.204866,0.126618,0.316965,0.128212,0.0,0.237097,0.016202
ical4j,0.012339,0.152918,0.099737,0.200325,0.063569,5.3E-5,0.103118,0.015343
java2html,0.00728,0.186321,0.097447,0.187874,-1.0,0.0,0.08494,0.001443
jsapar,0.001752,0.121373,0.065276,0.194114,0.088001,0.0,0.11765,0.008957
jxls,0.011626,0.221631,0.124901,0.225699,-1.0,0.0,0.151712,0.011874
logisim,0.024122,0.218503,0.174288,0.193074,-1.0,0.0,0.197727,0.010427
marvin,0.039273,0.22639,0.170968,0.327938,0.177276,2.2E-5,0.272303,0.01035
nekohtml,0.019413,0.163411,0.123816,0.255387,0.101793,0.0,0.171181,0.007578
