Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.206846,0.135224,0.071877,0.102895,0.047452,0.006128,0.044235,0.115931
borg,0.179168,0.108825,0.05871,0.101827,-1.0,0.009313,0.095488,0.059752
datapro4j,0.205669,0.14184,0.069533,0.106724,0.038176,0.019508,0.042392,0.125148
ical4j,0.148728,0.119054,0.050818,0.105676,0.022463,0.003387,0.017953,0.082187
java2html,0.175206,0.121926,0.09416,0.120603,-1.0,0.008956,0.064168,0.111905
jsapar,0.204968,0.136373,0.08053,0.108319,0.050569,0.018586,0.056376,0.110541
jxls,0.161814,0.115395,0.062766,0.10503,-1.0,0.009628,0.08655,0.084841
logisim,0.159279,0.105988,0.061371,0.09869,-1.0,0.008974,0.031841,0.068808
marvin,0.22475,0.137924,0.088915,0.111598,0.072114,0.007789,0.069681,0.120577
nekohtml,0.2206,0.1341,0.081374,0.102559,0.044734,0.013464,0.053931,0.099414
