Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.177469,0.116132,0.101768,0.116763,0.050756,0.006355,0.054408,0.12647
borg,0.117777,0.0725,0.046629,0.105368,-1.0,0.007535,0.041878,0.069488
datapro4j,0.142305,0.052743,0.090828,0.10347,0.050289,0.018697,0.074444,0.086993
ical4j,0.142409,0.085724,0.07189,0.10578,0.026602,0.001222,0.04589,0.09842
java2html,0.190473,0.097767,0.074651,0.153554,-1.0,0.009451,0.072227,0.14829
jsapar,0.161763,0.105767,0.105466,0.11177,0.05683,0.019928,0.062954,0.122965
jxls,0.123601,0.07402,0.03233,0.113908,-1.0,0.010574,0.046121,0.081954
logisim,0.123259,0.04726,0.053317,0.129507,-1.0,0.005434,0.034116,0.075746
marvin,0.218905,0.070123,0.09231,0.110928,0.06522,0.001052,0.085376,0.162927
nekohtml,0.192619,0.079229,0.120578,0.096642,0.045945,0.006813,0.061476,0.112062
