Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.017453,0.356515,0.197421,0.446635,0.240535,0.0,0.20616,0.018972
borg,0.006754,0.359688,0.075969,0.270374,-1.0,0.0,0.164381,0.004531
datapro4j,0.186572,0.735507,0.424796,0.72601,0.718971,0.0,0.795278,0.037829
ical4j,0.053951,0.410491,0.256726,0.460636,0.220433,1.5E-4,0.21772,0.056234
java2html,0.019454,0.356444,0.124955,0.253509,-1.0,0.0,0.110451,0.004887
jsapar,0.01096,0.299567,0.127869,0.349749,0.149269,0.0,0.126354,0.011506
jxls,0.073233,0.475332,0.184602,0.414787,-1.0,0.0,0.171385,0.009273
logisim,0.133409,0.516708,0.346568,0.379257,-1.0,0.0,0.41172,0.036307
marvin,0.115672,0.584446,0.442021,0.629361,0.42499,0.0,0.595917,0.017368
nekohtml,0.086666,0.475269,0.310931,0.54183,0.28618,0.0,0.30681,0.018628
