Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.005092,0.08828,0.067056,0.17558,0.037361,0.0,0.087381,0.007009
borg,0.0028,0.161428,0.040507,0.158995,-1.0,0.0,0.066367,0.002915
datapro4j,0.028496,0.153265,0.11694,0.263585,0.079493,0.0,0.201641,0.027362
ical4j,0.007643,0.138903,0.099574,0.202246,0.060865,0.0,0.113373,0.014672
java2html,0.00141,0.101152,0.053622,0.108569,-1.0,0.0,0.076494,0.001318
jsapar,0.001483,0.082641,0.040404,0.136078,0.02747,0.0,0.084875,0.003389
jxls,0.012181,0.183134,0.112616,0.244629,-1.0,0.0,0.1915,0.010396
logisim,0.009008,0.133939,0.128552,0.173529,-1.0,0.0,0.163646,0.006324
marvin,0.018406,0.153462,0.138563,0.254688,0.092152,0.0,0.218069,0.004032
nekohtml,0.009729,0.102324,0.088406,0.191943,0.059843,0.0,0.108874,0.006035
