Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.164853,0.101823,0.098498,0.094848,0.077087,0.011368,0.106036,0.098827
borg,0.147773,0.09353,0.0821,0.075983,-1.0,0.00521,0.081152,0.088041
datapro4j,0.166133,0.107284,0.066219,0.087928,0.026398,0.012921,0.102414,0.108439
ical4j,0.12114,0.086149,0.050365,0.078244,0.020272,0.008622,0.067728,0.071111
java2html,0.206165,0.085828,0.110292,0.092006,-1.0,0.024468,0.157663,0.10968
jsapar,0.172758,0.10307,0.110742,0.115079,0.031544,0.011362,0.124291,0.099243
jxls,0.131191,0.097669,0.084694,0.087327,-1.0,0.020319,0.094852,0.089875
logisim,0.180393,0.094975,0.063794,0.075726,-1.0,0.011835,0.075196,0.100798
marvin,0.202927,0.106197,0.105097,0.104743,0.06134,0.016926,0.118589,0.106153
nekohtml,0.164454,0.09969,0.107618,0.085497,0.075192,0.011441,0.099708,0.096549
