Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.162246,0.106226,0.083873,0.097715,0.036009,0.017658,0.074528,0.109249
borg,0.150002,0.099478,0.055403,0.097928,-1.0,0.009189,0.066885,0.068707
datapro4j,0.186278,0.059938,0.066027,0.096502,0.042624,0.019398,0.080103,0.094075
ical4j,0.139468,0.078008,0.04878,0.094889,0.021183,0.009142,0.059569,0.116698
java2html,0.143096,0.093755,0.093294,0.108753,-1.0,0.037661,0.089658,0.105143
jsapar,0.173334,0.105215,0.101848,0.086409,0.033271,0.01703,0.084301,0.101058
jxls,0.162598,0.074389,0.06878,0.07743,-1.0,0.00396,0.065639,0.084091
logisim,0.18594,0.065546,0.076568,0.154085,-1.0,0.009524,0.05234,0.086961
marvin,0.180885,0.080391,0.091372,0.094709,0.080688,0.0,0.094898,0.108537
nekohtml,0.192858,0.083206,0.090623,0.103379,0.037973,0.007353,0.073253,0.108895
