Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.246557,0.111262,0.089285,0.100493,0.063965,0.009102,0.064001,0.114807
borg,0.12969,0.085204,0.044214,0.101677,-1.0,0.005922,0.055003,0.094645
datapro4j,0.126763,0.074839,0.08726,0.099831,0.057,0.022553,0.081648,0.099417
ical4j,0.145723,0.089014,0.073173,0.098831,0.030987,0.004235,0.064387,0.105312
java2html,0.187802,0.097929,0.091216,0.114188,-1.0,0.009105,0.096039,0.170355
jsapar,0.142212,0.115921,0.087358,0.092305,0.061679,0.014512,0.075853,0.098164
jxls,0.189349,0.083713,0.046348,0.0942,-1.0,0.01736,0.060488,0.099011
logisim,0.111404,0.05503,0.066686,0.142748,-1.0,0.001966,0.044868,0.097035
marvin,0.174436,0.106484,0.086265,0.088341,0.080664,0.004382,0.100041,0.116598
nekohtml,0.214027,0.087803,0.113439,0.096524,0.053007,0.00821,0.070903,0.112425
