Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.191954,0.127225,0.091641,0.09574,0.05024,0.008268,0.051709,0.100281
borg,0.164997,0.106356,0.068619,0.086992,-1.0,0.005763,0.033564,0.062983
datapro4j,0.241808,0.154121,0.095561,0.110176,0.077781,0.013027,0.05767,0.131739
ical4j,0.227892,0.112984,0.060205,0.088587,0.038671,0.007357,0.056786,0.072207
java2html,0.173069,0.1058,0.102272,0.123513,-1.0,0.018023,0.101311,0.120033
jsapar,0.171735,0.130282,0.092756,0.102837,0.047451,0.030555,0.068509,0.099646
jxls,0.157512,0.115516,0.060174,0.101775,-1.0,0.010228,0.071422,0.087638
logisim,0.17527,0.103912,0.054483,0.07615,-1.0,0.003976,0.027642,0.081296
marvin,0.253496,0.133672,0.094329,0.101882,0.0606,0.029098,0.070229,0.114703
nekohtml,0.196349,0.12494,0.102675,0.123303,0.061704,0.020298,0.057138,0.108469
