Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.182763,0.130346,0.090904,0.108897,0.051382,0.018569,0.029499,0.110558
borg,0.126577,0.09348,0.04816,0.143199,-1.0,0.004949,0.02146,0.057461
datapro4j,0.21607,0.107044,0.10307,0.126617,0.061054,0.025937,0.069592,0.122233
ical4j,0.204492,0.119031,0.070412,0.093182,0.025825,0.004851,0.035497,0.098672
java2html,0.172763,0.112033,0.086191,0.141763,-1.0,0.003333,0.158972,0.147738
jsapar,0.187182,0.126811,0.089807,0.102923,0.051717,0.024753,0.050056,0.112689
jxls,0.129306,0.099004,0.044777,0.099482,-1.0,0.013858,0.004504,0.088227
logisim,0.1448,0.078497,0.063932,0.141466,-1.0,0.004535,0.026288,0.082979
marvin,0.214854,0.127391,0.096965,0.099187,0.076417,0.005957,0.079792,0.134041
nekohtml,0.175882,0.112964,0.110422,0.09712,0.062599,0.008893,0.04566,0.12216
