Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.303643,0.73812,0.44548,0.672916,0.277705,9.0E-6,0.515498,0.038386
borg,0.326422,0.602552,0.315089,0.397083,-1.0,6.2E-5,0.281716,0.011291
datapro4j,0.748867,0.88729,0.589611,0.803063,0.607197,0.0,0.747901,0.025779
ical4j,0.345287,0.649949,0.438165,0.58485,0.49232,2.9E-5,0.562974,0.051001
java2html,0.381594,0.670294,0.429502,0.571631,-1.0,0.0,0.414307,5.6E-4
jsapar,0.120188,0.5112,0.343325,0.486005,0.1291,2.5E-5,0.283731,0.029334
jxls,0.557633,0.765626,0.543539,0.638507,-1.0,0.0,0.445632,0.014917
logisim,0.733311,0.868937,0.754625,0.809714,-1.0,0.0,0.744217,0.03249
marvin,0.502966,0.755863,0.608686,0.721934,0.482796,0.0,0.697119,0.029557
nekohtml,0.616744,0.806016,0.561937,0.647445,0.570175,0.0,0.721621,0.033502
