Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.147518,0.095441,0.105898,0.122733,0.028739,0.010581,0.081199,0.105086
borg,0.094153,0.057863,0.039624,0.094099,-1.0,0.006231,0.041434,0.067271
datapro4j,0.112693,0.069945,0.113229,0.106803,0.093739,0.027445,0.100738,0.10369
ical4j,0.115597,0.077467,0.075337,0.093366,0.031911,0.007731,0.059823,0.068209
java2html,0.130148,0.077624,0.095752,0.14183,-1.0,0.00321,0.081031,0.12894
jsapar,0.139041,0.097338,0.124133,0.116368,0.069822,0.015846,0.07901,0.101448
jxls,0.099453,0.058309,0.029801,0.093075,-1.0,0.010466,0.038592,0.054131
logisim,0.054289,0.025982,0.048175,0.046974,-1.0,0.005453,0.028951,0.084181
marvin,0.13669,0.08518,0.089784,0.099268,0.062893,0.005262,0.08783,0.14395
nekohtml,0.100334,0.069435,0.120055,0.101581,0.046483,0.010436,0.068492,0.121021
