Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.081563,0.47644,0.341498,0.546953,0.375053,1.69E-4,0.317635,0.027008
borg,0.066903,0.478439,0.262637,0.45314,-1.0,0.002295,0.153393,0.013467
datapro4j,0.211032,0.63914,0.521528,0.737404,0.628975,0.0,0.774383,0.04463
ical4j,0.210527,0.529633,0.413954,0.493196,0.394801,0.002712,0.439935,0.084873
java2html,0.145685,0.532941,0.368144,0.482542,-1.0,0.0,0.140516,0.011252
jsapar,0.057659,0.378623,0.284087,0.405661,0.230204,9.6E-5,0.201251,0.02043
jxls,0.28022,0.605078,0.462839,0.602595,-1.0,8.0E-6,0.310913,0.024155
logisim,0.246727,0.622126,0.544135,0.635933,-1.0,0.0,0.542927,0.027545
marvin,0.200704,0.505217,0.494757,0.604789,0.382467,3.23E-4,0.515255,0.030645
nekohtml,0.289544,0.588649,0.508491,0.595444,0.5142,1.13E-4,0.437482,0.035298
