Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.195291,0.11454,0.09363,0.091635,0.056982,0.015209,0.081543,0.103923
borg,0.151213,0.101823,0.058852,0.090023,-1.0,0.010608,0.086913,0.082508
datapro4j,0.256261,0.13024,0.101258,0.140988,0.067944,0.029913,0.067007,0.135442
ical4j,0.192091,0.11064,0.063754,0.13328,0.022166,0.007976,0.029889,0.090736
java2html,0.192097,0.100343,0.098461,0.151308,-1.0,0.049238,0.319787,0.085084
jsapar,0.178819,0.11659,0.096579,0.10384,0.087402,0.021684,0.085092,0.104292
jxls,0.199082,0.094949,0.060762,0.084288,-1.0,0.005866,0.179449,0.081891
logisim,0.186613,0.103699,0.073112,0.180498,-1.0,0.014754,0.092109,0.106266
marvin,0.190343,0.12742,0.096047,0.11132,0.073945,0.023563,0.069438,0.118804
nekohtml,0.197837,0.113893,0.097006,0.136333,0.052039,0.009618,0.098001,0.119077
