Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.08747,0.228766,0.21354,0.36006,0.110499,2.7E-5,0.201152,0.007257
borg,0.107854,0.283958,0.187598,0.347078,-1.0,5.7E-5,0.123767,0.004345
datapro4j,0.124347,0.231538,0.223449,0.406314,0.151285,4.4E-5,0.289973,0.038064
ical4j,0.135997,0.297216,0.247305,0.447619,0.186818,3.47E-4,0.291563,0.0178
java2html,0.060364,0.310986,0.214134,0.318995,-1.0,1.5E-5,0.136418,0.007994
jsapar,0.054531,0.160211,0.151472,0.226978,0.085468,4.5E-5,0.109522,0.003038
jxls,0.154328,0.235529,0.295904,0.402171,-1.0,9.0E-5,0.250328,0.012255
logisim,0.073796,0.224624,0.300491,0.3829,-1.0,0.0,0.310435,0.015334
marvin,0.093329,0.187077,0.190824,0.287305,0.127451,2.0E-5,0.17583,0.007686
nekohtml,0.122767,0.217714,0.192143,0.320264,0.114347,2.3E-5,0.152842,0.005342
