Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.182,0.130164,0.104233,0.092806,0.066402,0.016093,0.095933,0.102047
borg,0.178038,0.129798,0.089455,0.087252,-1.0,0.014803,0.065198,0.094519
datapro4j,0.196864,0.15139,0.084731,0.10605,0.044973,0.010552,0.034751,0.135725
ical4j,0.165173,0.131964,0.070816,0.087094,0.027186,0.005378,0.035758,0.066562
java2html,0.216757,0.1179,0.119613,0.103837,-1.0,0.011451,0.172719,0.116352
jsapar,0.186424,0.130151,0.113513,0.096454,0.034893,0.025742,0.121981,0.096495
jxls,0.160425,0.138463,0.091242,0.095148,-1.0,0.015243,0.085272,0.105631
logisim,0.224867,0.131443,0.073137,0.086528,-1.0,0.00569,0.034499,0.110745
marvin,0.207652,0.146553,0.10768,0.100669,0.065088,0.022346,0.091279,0.120239
nekohtml,0.184579,0.139574,0.123379,0.088672,0.045618,0.019469,0.077564,0.110062
