Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.018466,0.278429,0.147356,0.400981,0.157531,0.0,0.199601,0.009521
borg,0.002497,0.280492,0.055293,0.21702,-1.0,0.0,0.090873,0.007669
datapro4j,0.121107,0.524015,0.383893,0.676949,0.508027,6.8E-5,0.663985,0.030337
ical4j,0.036001,0.328567,0.191856,0.405999,0.17344,4.56E-4,0.172218,0.036767
java2html,0.011448,0.278105,0.094504,0.244563,-1.0,0.0,0.02364,0.004372
jsapar,0.004705,0.211327,0.080527,0.258594,0.065521,0.0,0.097135,0.007079
jxls,0.091594,0.367612,0.182642,0.387782,-1.0,0.0,0.137667,0.020699
logisim,0.135866,0.52719,0.355171,0.42412,-1.0,0.0,0.378667,0.041898
marvin,0.097024,0.375963,0.343948,0.529084,0.290113,0.0,0.473497,0.009805
nekohtml,0.106188,0.443926,0.313675,0.547369,0.247293,0.0,0.293186,0.01638
