Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.203219,0.13441,0.089744,0.101182,0.050709,0.012456,0.062148,0.102378
borg,0.152704,0.120142,0.062524,0.090139,-1.0,0.008477,0.088942,0.075141
datapro4j,0.235755,0.128126,0.087383,0.107829,0.055901,0.018317,0.045961,0.130645
ical4j,0.189759,0.119708,0.063089,0.088915,0.028308,0.010428,0.036996,0.111396
java2html,0.206916,0.118392,0.117403,0.118091,-1.0,0.042066,0.259227,0.095048
jsapar,0.149244,0.135231,0.099946,0.086192,0.094578,0.013628,0.096799,0.109076
jxls,0.215964,0.120376,0.069307,0.103468,-1.0,0.003698,0.145162,0.10631
logisim,0.218843,0.105074,0.097325,0.158492,-1.0,0.012008,0.052372,0.122765
marvin,0.168135,0.135179,0.099549,0.109753,0.089146,0.012482,0.078566,0.129457
nekohtml,0.23217,0.128494,0.098691,0.10157,0.043105,0.015537,0.072102,0.123168
