Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.113487,0.080149,0.086787,0.083971,0.051407,0.015786,0.125819,0.09877
borg,0.127187,0.071767,0.047123,0.078676,-1.0,0.005164,0.06542,0.072966
datapro4j,0.121605,0.070191,0.089011,0.100741,0.054574,0.001029,0.080556,0.101923
ical4j,0.101458,0.067462,0.055515,0.126862,0.016973,0.013882,0.046101,0.108241
java2html,0.176137,0.083389,0.100705,0.154193,-1.0,0.026721,0.102103,0.097789
jsapar,0.126164,0.077843,0.08537,0.096895,0.023779,0.015383,0.097727,0.100393
jxls,0.101425,0.064468,0.050593,0.0763,-1.0,0.008673,0.068386,0.073177
logisim,0.113235,0.054068,0.070135,0.113675,-1.0,0.0111,0.049297,0.101359
marvin,0.132407,0.094565,0.091085,0.088985,0.07494,0.024452,0.091267,0.106652
nekohtml,0.098392,0.055812,0.115083,0.109784,0.0399,0.013674,0.067776,0.10448
