Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.007043,0.101588,0.094884,0.22673,0.083219,0.0,0.126218,0.008622
borg,0.00312,0.156773,0.051864,0.140103,-1.0,0.0,0.054836,0.005539
datapro4j,0.032643,0.143377,0.121563,0.270837,0.104004,0.0,0.214138,0.014812
ical4j,0.009454,0.092547,0.059404,0.156349,0.042475,1.5E-5,0.10784,0.012592
java2html,0.005258,0.12116,0.066705,0.152529,-1.0,0.0,0.068333,5.04E-4
jsapar,0.002561,0.074333,0.067328,0.135249,0.057234,0.0,0.104689,0.006074
jxls,0.01084,0.13889,0.10167,0.213141,-1.0,0.0,0.153344,0.012249
logisim,0.018155,0.137285,0.125235,0.172682,-1.0,0.0,0.168197,0.008302
marvin,0.018048,0.12292,0.105724,0.221246,0.107593,0.0,0.198304,0.011076
nekohtml,0.012785,0.11485,0.109513,0.21099,0.091525,0.0,0.172928,0.004878
