Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.197662,0.152257,0.071345,0.106257,0.044131,0.005253,0.041053,0.116106
borg,0.196556,0.129751,0.070077,0.110156,-1.0,0.003443,0.034369,0.075881
datapro4j,0.235085,0.172066,0.080305,0.116768,0.050198,0.016525,0.044474,0.144104
ical4j,0.173434,0.141927,0.047457,0.095344,0.021987,0.009179,0.034851,0.086898
java2html,0.145078,0.131764,0.095035,0.13463,-1.0,0.012401,0.085524,0.08894
jsapar,0.210413,0.151845,0.074046,0.098808,0.047514,0.013811,0.058334,0.106399
jxls,0.24648,0.141563,0.075625,0.106076,-1.0,0.001896,0.04064,0.086758
logisim,0.203438,0.13523,0.079314,0.108974,-1.0,0.003057,0.028262,0.084927
marvin,0.244002,0.152456,0.089233,0.106065,0.070618,0.002881,0.065622,0.129711
nekohtml,0.231874,0.160141,0.083048,0.111701,0.048038,0.011942,0.055238,0.112927
