Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.057076,0.430538,0.271512,0.541772,0.39127,0.0,0.378557,0.017225
borg,0.01936,0.43574,0.115334,0.232982,-1.0,0.0,0.264193,0.010191
datapro4j,0.55915,0.797313,0.467981,0.827012,0.741998,0.0,0.644752,0.023478
ical4j,0.044063,0.386167,0.242314,0.400623,0.263113,0.0,0.252528,0.044664
java2html,0.039144,0.337682,0.147234,0.283067,-1.0,0.0,0.211253,0.003085
jsapar,0.025971,0.310513,0.177726,0.39172,0.216259,0.0,0.138179,0.014799
jxls,0.11814,0.430486,0.196996,0.356183,-1.0,0.0,0.364753,0.01079
logisim,0.190909,0.50222,0.331876,0.381096,-1.0,0.0,0.447374,0.024158
marvin,0.197385,0.575685,0.405463,0.661717,0.567449,0.0,0.449287,0.020036
nekohtml,0.201128,0.529752,0.370531,0.632047,0.470707,0.0,0.532133,0.017939
