Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.211255,0.14321,0.088131,0.095622,0.03895,0.013977,0.052323,0.110016
borg,0.203327,0.159694,0.093667,0.094052,-1.0,0.012635,0.090037,0.098096
datapro4j,0.179332,0.162056,0.078424,0.123794,0.036838,0.011552,0.043897,0.149964
ical4j,0.180057,0.141585,0.055906,0.108103,0.022611,0.008461,0.036808,0.092243
java2html,0.261154,0.159023,0.121687,0.132113,-1.0,0.038492,0.132128,0.126961
jsapar,0.209112,0.146924,0.092882,0.12088,0.042562,0.006373,0.069877,0.111646
jxls,0.184639,0.133738,0.080256,0.094922,-1.0,0.018412,0.065356,0.103861
logisim,0.277907,0.154761,0.081283,0.087645,-1.0,0.012675,0.040178,0.113421
marvin,0.225689,0.152317,0.097084,0.123307,0.071806,0.022513,0.082338,0.130775
nekohtml,0.255964,0.144151,0.088671,0.102331,0.039251,0.012606,0.06295,0.116552
