Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.024714,0.252679,0.179841,0.358297,0.237889,0.0,0.223746,0.012886
borg,0.004785,0.301809,0.066923,0.218024,-1.0,0.0,0.135157,0.007347
datapro4j,0.1164,0.555658,0.407898,0.717227,0.548177,0.0,0.683137,0.031648
ical4j,0.023653,0.29878,0.19711,0.31548,0.210496,0.0,0.180796,0.045474
java2html,0.01266,0.239318,0.128465,0.202446,-1.0,0.0,0.056136,0.003843
jsapar,0.006328,0.20702,0.143568,0.247852,0.152605,0.0,0.160654,0.008741
jxls,0.036212,0.199466,0.119232,0.209176,-1.0,0.0,0.150235,0.006572
logisim,0.049726,0.314224,0.243304,0.308548,-1.0,0.0,0.297142,0.02619
marvin,0.087774,0.365152,0.316616,0.510951,0.400496,0.0,0.508899,0.015459
nekohtml,0.060029,0.351809,0.28666,0.475931,0.255464,1.13E-4,0.343075,0.010965
