Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.210596,0.145625,0.083343,0.108535,0.050024,0.015953,0.035167,0.109176
borg,0.215223,0.117196,0.060406,0.126645,-1.0,0.002915,0.061739,0.073176
datapro4j,0.258281,0.153723,0.094364,0.138219,0.069568,0.030546,0.053564,0.142597
ical4j,0.161728,0.130014,0.057435,0.094743,0.02581,0.006243,0.028273,0.105234
java2html,0.294641,0.122417,0.094647,0.129789,-1.0,0.040436,0.080003,0.090211
jsapar,0.236061,0.135797,0.088218,0.10155,0.052099,0.0183,0.067125,0.111516
jxls,0.219744,0.117746,0.075377,0.108624,-1.0,0.003894,0.047335,0.080575
logisim,0.244182,0.123896,0.088093,0.209531,-1.0,0.007045,0.031963,0.126058
marvin,0.219798,0.14763,0.103972,0.112166,0.076003,0.014564,0.064701,0.129731
nekohtml,0.215371,0.134254,0.09092,0.124081,0.050637,0.006464,0.035433,0.114555
