Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.162394,0.11534,0.086725,0.107449,0.055268,0.013733,0.094974,0.109421
borg,0.14505,0.110513,0.060017,0.142641,-1.0,0.006364,0.075364,0.091385
datapro4j,0.213561,0.106712,0.095033,0.1297,0.06138,0.017619,0.102212,0.11087
ical4j,0.179121,0.103523,0.057955,0.118346,0.030351,0.006666,0.065342,0.107292
java2html,0.248019,0.09439,0.088277,0.218275,-1.0,0.012072,0.095364,0.080681
jsapar,0.172502,0.121232,0.098337,0.140069,0.068577,0.011309,0.101209,0.112157
jxls,0.169507,0.086464,0.063259,0.091749,-1.0,0.018907,0.079377,0.075826
logisim,0.237056,0.095642,0.06784,0.219637,-1.0,0.00983,0.071605,0.121723
marvin,0.179502,0.104635,0.096467,0.130823,0.076359,0.020163,0.105195,0.129689
nekohtml,0.194131,0.098105,0.108668,0.152943,0.026319,0.01475,0.08892,0.120901
