Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.003975,0.069106,0.064113,0.140784,0.057019,0.0,0.102928,9.14E-4
borg,0.001159,0.099668,0.029066,0.128148,-1.0,0.0,0.077028,0.00198
datapro4j,0.022453,0.119208,0.123036,0.240291,0.070988,1.0E-6,0.189356,0.015542
ical4j,0.004135,0.089455,0.057948,0.130796,0.039784,0.0,0.089824,0.006224
java2html,0.003317,0.081542,0.043726,0.112748,-1.0,0.0,0.068577,0.001285
jsapar,0.001388,0.056976,0.046621,0.097985,0.031755,0.0,0.053643,2.04E-4
jxls,0.004408,0.110144,0.075981,0.16763,-1.0,0.0,0.138472,0.005973
logisim,0.006408,0.099809,0.103135,0.150473,-1.0,0.0,0.145605,0.007063
marvin,0.012566,0.094136,0.086428,0.16572,0.060032,0.0,0.146119,0.001289
nekohtml,0.009805,0.09674,0.080745,0.165427,0.053422,0.0,0.109849,3.93E-4
