Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.24053,0.156409,0.074862,0.094096,0.053325,0.016706,0.046701,0.105126
borg,0.196508,0.153745,0.08956,0.10309,-1.0,0.010642,0.06976,0.101415
datapro4j,0.237893,0.16774,0.06801,0.104894,0.037501,0.005327,0.041511,0.139475
ical4j,0.170295,0.148444,0.052039,0.08923,0.020898,0.00656,0.036254,0.09444
java2html,0.19962,0.152814,0.115762,0.108512,-1.0,0.029329,0.115021,0.125792
jsapar,0.184658,0.149083,0.079168,0.092667,0.051451,0.010185,0.068714,0.099048
jxls,0.195596,0.147954,0.086078,0.099387,-1.0,0.012706,0.065145,0.103165
logisim,0.230195,0.159741,0.081619,0.100151,-1.0,0.007046,0.03304,0.126657
marvin,0.206965,0.160841,0.091631,0.096148,0.06248,0.012843,0.079494,0.120675
nekohtml,0.204612,0.148979,0.078321,0.096824,0.045713,0.01542,0.044967,0.099629
