Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.115965,0.268954,0.229561,0.350475,0.151249,0.0,0.20786,0.00125
borg,0.15898,0.383031,0.234921,0.411195,-1.0,0.0,0.288576,0.006005
datapro4j,0.181326,0.299581,0.262326,0.460774,0.174309,3.9E-5,0.286354,0.021404
ical4j,0.174905,0.383417,0.256074,0.460677,0.179335,5.0E-5,0.236395,0.017997
java2html,0.061404,0.32767,0.231354,0.319033,-1.0,3.4E-5,0.132489,0.005662
jsapar,0.077579,0.236633,0.205333,0.268653,0.123288,2.0E-6,0.172359,6.14E-4
jxls,0.198113,0.31785,0.306631,0.417525,-1.0,0.0,0.244433,0.006739
logisim,0.09724,0.273767,0.298057,0.412966,-1.0,0.0,0.245566,0.01012
marvin,0.152932,0.256943,0.229522,0.338046,0.155047,0.0,0.241277,0.002095
nekohtml,0.130196,0.28223,0.237637,0.34489,0.13544,0.0,0.256507,7.2E-4
