Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.189126,0.136594,0.077259,0.099444,0.03952,0.009681,0.054466,0.108948
borg,0.159259,0.099224,0.065024,0.136184,-1.0,0.004487,0.061686,0.055082
datapro4j,0.201138,0.110927,0.058329,0.092528,0.032893,0.013779,0.112688,0.062888
ical4j,0.120353,0.114691,0.050958,0.101993,0.012777,0.001964,0.06753,0.064517
java2html,0.165757,0.102493,0.085665,0.098726,-1.0,0.00981,0.078339,0.120458
jsapar,0.179587,0.130615,0.083269,0.104626,0.038198,0.017423,0.054565,0.117982
jxls,0.199556,0.103901,0.061074,0.100322,-1.0,9.62E-4,0.073426,0.077955
logisim,0.224501,0.094378,0.052479,0.109581,-1.0,0.002581,0.070776,0.061341
marvin,0.23139,0.118895,0.089147,0.09971,0.058613,0.012252,0.104177,0.126604
nekohtml,0.264377,0.128898,0.088658,0.116436,0.047404,0.005106,0.083088,0.094447
