Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.010663,0.146709,0.126923,0.211222,0.122617,0.0,0.193562,0.011707
borg,0.00147,0.159175,0.034804,0.134092,-1.0,0.0,0.175601,8.72E-4
datapro4j,0.081615,0.237035,0.214072,0.322646,0.131907,0.0,0.26702,0.021275
ical4j,0.010216,0.157314,0.121029,0.211021,0.084603,3.0E-5,0.127283,0.019922
java2html,0.005947,0.172791,0.092372,0.153471,-1.0,0.0,0.171819,0.002771
jsapar,0.00643,0.127707,0.094522,0.15822,0.084173,0.0,0.161421,0.004488
jxls,0.006025,0.204627,0.100453,0.226711,-1.0,0.0,0.257193,0.003981
logisim,0.005198,0.169263,0.117664,0.156546,-1.0,0.0,0.171123,0.004455
marvin,0.046202,0.236887,0.206779,0.327997,0.194917,0.0,0.291388,0.008007
nekohtml,0.022672,0.160127,0.140301,0.227109,0.117827,0.0,0.202523,0.007739
